rank,landkreis_id,landkreis_name,ags,roof_area_m2,sun_hours_mean,sun_percentile,score,lat,lon,maps_url,earth_url
13,09175,Ebersberg,9175132,51727.73030006009,1957.9959716796875,90.6614761352539,101282687.55165097,48.155933,11.781014,"https://maps.google.com/?q=48.155933,11.781014","https://earth.google.com/web/@48.155933,11.781014,500a,35y,0h,0t,0r"
14,09177,Erding,9177133,50015.133700007544,1993.1234130859375,99.61661529541016,99686333.98610853,48.348864,11.840384,"https://maps.google.com/?q=48.348864,11.840384","https://earth.google.com/web/@48.348864,11.840384,500a,35y,0h,0t,0r"
15,09186,Pfaffenhofen a.d.Ilm,9186122,52167.21679998223,1880.48583984375,22.842756271362305,98099712.49642557,48.741039,11.626043,"https://maps.google.com/?q=48.741039,11.626043","https://earth.google.com/web/@48.741039,11.626043,500a,35y,0h,0t,0r"
16,09176,Eichstätt,9176139,51403.53045001541,1870.0792236328125,10.282673835754395,96128674.31595045,48.793477,11.514218,"https://maps.google.com/?q=48.793477,11.514218","https://earth.google.com/web/@48.793477,11.514218,500a,35y,0h,0t,0r"
17,09175,Ebersberg,9175135,48780.721500043546,1960.0294189453125,91.45113372802734,95611649.21746346,48.162512,11.784917,"https://maps.google.com/?q=48.162512,11.784917","https://earth.google.com/web/@48.162512,11.784917,500a,35y,0h,0t,0r"
18,09175,Ebersberg,9175132,47163.24749998205,1957.9959716796875,90.6614761352539,92345448.61629695,48.157991,11.781152,"https://maps.google.com/?q=48.157991,11.781152","https://earth.google.com/web/@48.157991,11.781152,500a,35y,0h,0t,0r"
19,09175,Ebersberg,9175115,47366.87509998794,1927.72021484375,69.47241973876953,91310082.64422582,48.097159,11.958267,"https://maps.google.com/?q=48.097159,11.958267","https://earth.google.com/web/@48.097159,11.958267,500a,35y,0h,0t,0r"
20,09183,Mühldorf a.Inn,9183128,48927.93444991505,1859.938232421875,6.082627773284912,91002935.91682835,48.255212,12.550897,"https://maps.google.com/?q=48.255212,12.550897","https://earth.google.com/web/@48.255212,12.550897,500a,35y,0h,0t,0r"
21,09171,Altötting,9171114,47553.78464998878,1877.829833984375,19.346532821655273,89297915.53461716,48.184571,12.752324,"https://maps.google.com/?q=48.184571,12.752324","https://earth.google.com/web/@48.184571,12.752324,500a,35y,0h,0t,0r"
22,09161,Ingolstadt (Stadt),9161000,46702.79379996724,1872.2049560546875,11.947813987731934,87437202.0138988,48.78898,11.416918,"https://maps.google.com/?q=48.78898,11.416918","https://earth.google.com/web/@48.78898,11.416918,500a,35y,0h,0t,0r"
23,09161,Ingolstadt (Stadt),9161000,45315.06290005763,1872.482666015625,12.308308601379395,84851669.78976566,48.779461,11.396035,"https://maps.google.com/?q=48.779461,11.396035","https://earth.google.com/web/@48.779461,11.396035,500a,35y,0h,0t,0r"
24,09189,Traunstein,9189145,43757.64429998533,1897.2332763671875,37.491416931152344,83018458.86137116,47.811667,12.612906,"https://maps.google.com/?q=47.811667,12.612906","https://earth.google.com/web/@47.811667,12.612906,500a,35y,0h,0t,0r"
25,09175,Ebersberg,9175135,41581.12900005152,1955.834228515625,89.70015716552734,81325795.35862444,48.167126,11.797189,"https://maps.google.com/?q=48.167126,11.797189","https://earth.google.com/web/@48.167126,11.797189,500a,35y,0h,0t,0r"
26,09161,Ingolstadt (Stadt),9161000,42306.73484993752,1872.2049560546875,11.947813987731934,79206878.66054459,48.787547,11.421047,"https://maps.google.com/?q=48.787547,11.421047","https://earth.google.com/web/@48.787547,11.421047,500a,35y,0h,0t,0r"
27,09161,Ingolstadt (Stadt),9161000,41772.82655000627,1872.2049560546875,11.947813987731934,78207292.89533457,48.788968,11.422504,"https://maps.google.com/?q=48.788968,11.422504","https://earth.google.com/web/@48.788968,11.422504,500a,35y,0h,0t,0r"
28,09162,München (Stadt),9162000,38841.66964999878,1971.8682861328125,95.50812530517578,76590656.56327997,48.214753,11.469856,"https://maps.google.com/?q=48.214753,11.469856","https://earth.google.com/web/@48.214753,11.469856,500a,35y,0h,0t,0r"
29,09183,Mühldorf a.Inn,9183116,40976.08180005365,1859.48291015625,5.9853515625,76194323.83236432,48.267638,12.551035,"https://maps.google.com/?q=48.267638,12.551035","https://earth.google.com/web/@48.267638,12.551035,500a,35y,0h,0t,0r"
30,09175,Ebersberg,9175132,38642.115050018314,1957.9959716796875,90.6614761352539,75661105.60511889,48.154667,11.781353,"https://maps.google.com/?q=48.154667,11.781353","https://earth.google.com/web/@48.154667,11.781353,500a,35y,0h,0t,0r"
31,09177,Erding,9177116,38067.914999958935,1979.7730712890625,97.49370574951172,75365832.99703968,48.368579,11.889022,"https://maps.google.com/?q=48.368579,11.889022","https://earth.google.com/web/@48.368579,11.889022,500a,35y,0h,0t,0r"
32,09161,Ingolstadt (Stadt),9161000,40019.33594996961,1872.2049560546875,11.947813987731934,74924399.10355063,48.789965,11.418434,"https://maps.google.com/?q=48.789965,11.418434","https://earth.google.com/web/@48.789965,11.418434,500a,35y,0h,0t,0r"
33,09162,München (Stadt),9162000,38055.90290005545,1965.2144775390625,93.14488220214844,74788011.33500977,48.138195,11.697752,"https://maps.google.com/?q=48.138195,11.697752","https://earth.google.com/web/@48.138195,11.697752,500a,35y,0h,0t,0r"
34,09186,Pfaffenhofen a.d.Ilm,9186139,38706.451550001446,1886.924072265625,29.577707290649414,73036135.18168084,48.757365,11.699143,"https://maps.google.com/?q=48.757365,11.699143","https://earth.google.com/web/@48.757365,11.699143,500a,35y,0h,0t,0r"
35,09171,Altötting,9171118,38487.446450006384,1876.3695068359375,17.01190185546875,72216670.91477303,48.205108,12.838149,"https://maps.google.com/?q=48.205108,12.838149","https://earth.google.com/web/@48.205108,12.838149,500a,35y,0h,0t,0r"
36,09181,Landsberg am Lech,9181130,36815.70205003005,1917.958740234375,58.42870330810547,70610997.52471973,48.064232,10.833122,"https://maps.google.com/?q=48.064232,10.833122","https://earth.google.com/web/@48.064232,10.833122,500a,35y,0h,0t,0r"
37,09161,Ingolstadt (Stadt),9161000,37410.00945004414,1872.2462158203125,12.022201538085938,70040748.62664728,48.787355,11.410655,"https://maps.google.com/?q=48.787355,11.410655","https://earth.google.com/web/@48.787355,11.410655,500a,35y,0h,0t,0r"
38,09186,Pfaffenhofen a.d.Ilm,9186122,36752.40370000041,1881.3397216796875,24.027236938476562,69143756.94801828,48.739798,11.633639,"https://maps.google.com/?q=48.739798,11.633639","https://earth.google.com/web/@48.739798,11.633639,500a,35y,0h,0t,0r"
39,09185,Neuburg-Schrobenhausen,9185149,36903.488900003285,1873.3570556640625,13.172350883483887,69133411.30944157,48.739724,11.23925,"https://maps.google.com/?q=48.739724,11.23925","https://earth.google.com/web/@48.739724,11.23925,500a,35y,0h,0t,0r"
40,09161,Ingolstadt (Stadt),9161000,36848.95520002333,1872.2049560546875,11.947813987731934,68988796.55092083,48.79021,11.423585,"https://maps.google.com/?q=48.79021,11.423585","https://earth.google.com/web/@48.79021,11.423585,500a,35y,0h,0t,0r"
41,09179,Fürstenfeldbruck,9179123,35214.575900072625,1949.20703125,86.65026092529297,68640498.94690835,48.139517,11.366804,"https://maps.google.com/?q=48.139517,11.366804","https://earth.google.com/web/@48.139517,11.366804,500a,35y,0h,0t,0r"
42,09178,Freising,9178120,34777.205849960876,1972.255859375,95.67406463623047,68589548.01027587,48.307701,11.642788,"https://maps.google.com/?q=48.307701,11.642788","https://earth.google.com/web/@48.307701,11.642788,500a,35y,0h,0t,0r"
43,09174,Dachau,9174115,34972.03585006879,1956.6612548828125,90.08926391601562,68428427.5522023,48.272064,11.473802,"https://maps.google.com/?q=48.272064,11.473802","https://earth.google.com/web/@48.272064,11.473802,500a,35y,0h,0t,0r"
44,09184,München (Lkr),9184119,33325.732599998475,1973.8941650390625,96.23483276367188,65781469.12478905,48.248739,11.623321,"https://maps.google.com/?q=48.248739,11.623321","https://earth.google.com/web/@48.248739,11.623321,500a,35y,0h,0t,0r"
45,09175,Ebersberg,9175111,33769.25969997747,1943.510498046875,83.37720489501953,65630910.73817748,48.160147,11.851239,"https://maps.google.com/?q=48.160147,11.851239","https://earth.google.com/web/@48.160147,11.851239,500a,35y,0h,0t,0r"
46,09161,Ingolstadt (Stadt),9161000,34035.4721000596,1872.2049560546875,11.947813987731934,63721379.54739262,48.78664,11.423741,"https://maps.google.com/?q=48.78664,11.423741","https://earth.google.com/web/@48.78664,11.423741,500a,35y,0h,0t,0r"
47,09183,Mühldorf a.Inn,9183136,34162.344999953726,1860.11181640625,6.1627373695373535,63545781.6105609,48.237082,12.576838,"https://maps.google.com/?q=48.237082,12.576838","https://earth.google.com/web/@48.237082,12.576838,500a,35y,0h,0t,0r"
48,09174,Dachau,9174113,32621.018899990413,1934.5443115234375,75.96131896972656,63106806.54907499,48.238294,11.342887,"https://maps.google.com/?q=48.238294,11.342887","https://earth.google.com/web/@48.238294,11.342887,500a,35y,0h,0t,0r"
49,09176,Eichstätt,9176126,33240.527050004035,1872.3465576171875,12.13664436340332,62237786.39545606,48.78477,11.374347,"https://maps.google.com/?q=48.78477,11.374347","https://earth.google.com/web/@48.78477,11.374347,500a,35y,0h,0t,0r"
50,09177,Erding,9177139,31901.4104500026,1917.9029541015625,58.37720489501953,61183809.342066444,48.349145,12.131821,"https://maps.google.com/?q=48.349145,12.131821","https://earth.google.com/web/@48.349145,12.131821,500a,35y,0h,0t,0r"
51,09179,Fürstenfeldbruck,9179121,31431.145649978364,1924.5133056640625,65.95903015136719,60489658.01564848,48.161067,11.219519,"https://maps.google.com/?q=48.161067,11.219519","https://earth.google.com/web/@48.161067,11.219519,500a,35y,0h,0t,0r"
52,09175,Ebersberg,9175132,30863.688999979928,1957.9959716796875,90.6614761352539,60430978.73313538,48.154669,11.77674,"https://maps.google.com/?q=48.154669,11.77674","https://earth.google.com/web/@48.154669,11.77674,500a,35y,0h,0t,0r"
53,09174,Dachau,9174113,30990.70469996474,1934.5443115234375,75.96131896972656,59952891.48741944,48.23679,11.345689,"https://maps.google.com/?q=48.23679,11.345689","https://earth.google.com/web/@48.23679,11.345689,500a,35y,0h,0t,0r"
54,09184,München (Lkr),9184131,30430.427900021794,1965.2662353515625,93.16204833984375,59803892.479212984,48.156115,11.758019,"https://maps.google.com/?q=48.156115,11.758019","https://earth.google.com/web/@48.156115,11.758019,500a,35y,0h,0t,0r"
55,09186,Pfaffenhofen a.d.Ilm,9186162,31128.575200014155,1910.3853759765625,48.952850341796875,59467574.83709374,48.596489,11.575391,"https://maps.google.com/?q=48.596489,11.575391","https://earth.google.com/web/@48.596489,11.575391,500a,35y,0h,0t,0r"
56,09178,Freising,9178120,30049.02950007394,1972.6201171875,95.83428955078125,59275320.0938065,48.310366,11.640973,"https://maps.google.com/?q=48.310366,11.640973","https://earth.google.com/web/@48.310366,11.640973,500a,35y,0h,0t,0r"
57,09184,München (Lkr),9184131,30170.100499993558,1960.04248046875,91.46257781982422,59134678.61999885,48.178531,11.761839,"https://maps.google.com/?q=48.178531,11.761839","https://earth.google.com/web/@48.178531,11.761839,500a,35y,0h,0t,0r"
58,09177,Erding,9177117,29827.29224996822,1971.176513671875,95.18196105957031,58794857.949564494,48.303581,11.886084,"https://maps.google.com/?q=48.303581,11.886084","https://earth.google.com/web/@48.303581,11.886084,500a,35y,0h,0t,0r"
59,09177,Erding,9177116,29238.740500017782,1979.7730712890625,97.49370574951172,57886071.0803441,48.370474,11.889272,"https://maps.google.com/?q=48.370474,11.889272","https://earth.google.com/web/@48.370474,11.889272,500a,35y,0h,0t,0r"
60,09189,Traunstein,9189154,30201.562400014674,1902.31396484375,41.445411682128906,57452853.91364784,47.955042,12.614589,"https://maps.google.com/?q=47.955042,12.614589","https://earth.google.com/web/@47.955042,12.614589,500a,35y,0h,0t,0r"
61,09186,Pfaffenhofen a.d.Ilm,9186147,30169.6376999986,1886.0162353515625,28.770885467529297,56900426.51687193,48.654702,11.485945,"https://maps.google.com/?q=48.654702,11.485945","https://earth.google.com/web/@48.654702,11.485945,500a,35y,0h,0t,0r"
62,09186,Pfaffenhofen a.d.Ilm,9186147,30023.119849982028,1887.396484375,29.915311813354492,56665530.854825355,48.652901,11.483908,"https://maps.google.com/?q=48.652901,11.483908","https://earth.google.com/web/@48.652901,11.483908,500a,35y,0h,0t,0r"
63,09175,Ebersberg,9175132,28776.270099971007,1955.25048828125,89.47699737548828,56264816.16388144,48.148945,11.79307,"https://maps.google.com/?q=48.148945,11.79307","https://earth.google.com/web/@48.148945,11.79307,500a,35y,0h,0t,0r"
64,09162,München (Stadt),9162000,27732.688700016202,1995.74560546875,99.77684020996094,55347391.6008902,48.17942,11.558589,"https://maps.google.com/?q=48.17942,11.558589","https://earth.google.com/web/@48.17942,11.558589,500a,35y,0h,0t,0r"
65,09175,Ebersberg,9175132,28191.962650048066,1953.0865478515625,88.5271224975586,55061343.009342566,48.154084,11.809701,"https://maps.google.com/?q=48.154084,11.809701","https://earth.google.com/web/@48.154084,11.809701,500a,35y,0h,0t,0r"
66,09162,München (Stadt),9162000,27608.400250016635,1990.0196533203125,99.26757049560547,54941259.094266534,48.197226,11.568224,"https://maps.google.com/?q=48.197226,11.568224","https://earth.google.com/web/@48.197226,11.568224,500a,35y,0h,0t,0r"
67,09171,Altötting,9171113,29063.15130001389,1879.734130859375,21.93293571472168,54630997.44896612,48.175314,12.730598,"https://maps.google.com/?q=48.175314,12.730598","https://earth.google.com/web/@48.175314,12.730598,500a,35y,0h,0t,0r"
68,09178,Freising,9178145,27494.39309994872,1972.666259765625,95.84001159667969,54237261.60100165,48.311173,11.652656,"https://maps.google.com/?q=48.311173,11.652656","https://earth.google.com/web/@48.311173,11.652656,500a,35y,0h,0t,0r"
69,09178,Freising,9178145,27423.98720003974,1976.8218994140625,96.88716125488281,54212338.4662895,48.330738,11.68656,"https://maps.google.com/?q=48.330738,11.68656","https://earth.google.com/web/@48.330738,11.68656,500a,35y,0h,0t,0r"
70,09185,Neuburg-Schrobenhausen,9185149,28570.28669998746,1874.87744140625,14.946211814880371,53565786.02831551,48.744082,11.243386,"https://maps.google.com/?q=48.744082,11.243386","https://earth.google.com/web/@48.744082,11.243386,500a,35y,0h,0t,0r"
71,09178,Freising,9178143,27486.335649909535,1938.658203125,80.04692077636719,53286610.08154425,48.470476,11.968947,"https://maps.google.com/?q=48.470476,11.968947","https://earth.google.com/web/@48.470476,11.968947,500a,35y,0h,0t,0r"
72,09179,Fürstenfeldbruck,9179118,27258.853049951103,1935.431396484375,76.94552612304688,52757640.02502923,48.159709,11.325683,"https://maps.google.com/?q=48.159709,11.325683","https://earth.google.com/web/@48.159709,11.325683,500a,35y,0h,0t,0r"
73,09187,Rosenheim (Lkr),9187177,28453.291899988373,1853.3431396484375,4.537651538848877,52733713.343257904,47.844462,12.163341,"https://maps.google.com/?q=47.844462,12.163341","https://earth.google.com/web/@47.844462,12.163341,500a,35y,0h,0t,0r"
74,09181,Landsberg am Lech,9181130,26863.706100032563,1917.958740234375,58.42870330810547,51523479.90964495,48.064722,10.837866,"https://maps.google.com/?q=48.064722,10.837866","https://earth.google.com/web/@48.064722,10.837866,500a,35y,0h,0t,0r"
75,09184,München (Lkr),9184112,26090.507749989974,1964.8319091796875,93.05332946777344,51263462.15388023,48.16363,11.734761,"https://maps.google.com/?q=48.16363,11.734761","https://earth.google.com/web/@48.16363,11.734761,500a,35y,0h,0t,0r"
76,09162,München (Stadt),9162000,25335.659199963073,1988.035888671875,98.90707397460938,50368199.75268635,48.191885,11.588533,"https://maps.google.com/?q=48.191885,11.588533","https://earth.google.com/web/@48.191885,11.588533,500a,35y,0h,0t,0r"
77,09189,Traunstein,9189152,26731.119800028384,1877.6099853515625,19.094758987426758,50190617.456162155,48.02927,12.79103,"https://maps.google.com/?q=48.02927,12.79103","https://earth.google.com/web/@48.02927,12.79103,500a,35y,0h,0t,0r"
78,09178,Freising,9178143,25700.826599990247,1941.3115234375,82.00389099121094,49893310.84043009,48.473318,11.944369,"https://maps.google.com/?q=48.473318,11.944369","https://earth.google.com/web/@48.473318,11.944369,500a,35y,0h,0t,0r"
79,09174,Dachau,9174135,26029.79080000184,1911.3406982421875,50.13161087036133,49751798.522773586,48.301856,11.213866,"https://maps.google.com/?q=48.301856,11.213866","https://earth.google.com/web/@48.301856,11.213866,500a,35y,0h,0t,0r"
80,09178,Freising,9178120,25056.617350048906,1972.6201171875,95.83428955078125,49427187.45337582,48.308944,11.635393,"https://maps.google.com/?q=48.308944,11.635393","https://earth.google.com/web/@48.308944,11.635393,500a,35y,0h,0t,0r"
81,09162,München (Stadt),9162000,24305.198600027234,1981.301513671875,97.74547576904297,48155926.776329495,48.190296,11.472245,"https://maps.google.com/?q=48.190296,11.472245","https://earth.google.com/web/@48.190296,11.472245,500a,35y,0h,0t,0r"
82,09181,Landsberg am Lech,9181130,25048.210300072606,1921.2152099609375,62.27397537231445,48123002.61079971,48.055641,10.891424,"https://maps.google.com/?q=48.055641,10.891424","https://earth.google.com/web/@48.055641,10.891424,500a,35y,0h,0t,0r"
83,09172,Berchtesgadener Land,9172111,26306.39154997224,1827.6336669921875,1.3504234552383423,48078446.85380806,47.793189,12.951207,"https://maps.google.com/?q=47.793189,12.951207","https://earth.google.com/web/@47.793189,12.951207,500a,35y,0h,0t,0r"
84,09162,München (Stadt),9162000,24180.45900003714,1982.279052734375,97.89997863769531,47932417.361276016,48.155433,11.624731,"https://maps.google.com/?q=48.155433,11.624731","https://earth.google.com/web/@48.155433,11.624731,500a,35y,0h,0t,0r"
85,09177,Erding,9177133,23846.89835001035,1996.0325927734375,99.79400634765625,47599186.34317577,48.350286,11.834832,"https://maps.google.com/?q=48.350286,11.834832","https://earth.google.com/web/@48.350286,11.834832,500a,35y,0h,0t,0r"
86,09184,München (Lkr),9184119,24151.408199957015,1970.239501953125,94.83863830566406,47584058.46334993,48.259864,11.600117,"https://maps.google.com/?q=48.259864,11.600117","https://earth.google.com/web/@48.259864,11.600117,500a,35y,0h,0t,0r"
87,09163,Rosenheim (Stadt),9163000,25623.44395000184,1849.612548828125,3.8395514488220215,47393443.4741175,47.84772,12.084554,"https://maps.google.com/?q=47.84772,12.084554","https://earth.google.com/web/@47.84772,12.084554,500a,35y,0h,0t,0r"
88,09180,Garmisch-Partenkirchen,9180124,25314.72429999465,1864.1246337890625,7.44449520111084,47189801.16519861,47.671707,11.217456,"https://maps.google.com/?q=47.671707,11.217456","https://earth.google.com/web/@47.671707,11.217456,500a,35y,0h,0t,0r"
89,09174,Dachau,9174115,24114.180750003805,1956.0684814453125,89.83177185058594,47168988.92095773,48.260984,11.475106,"https://maps.google.com/?q=48.260984,11.475106","https://earth.google.com/web/@48.260984,11.475106,500a,35y,0h,0t,0r"
90,09172,Berchtesgadener Land,9172111,25535.577999965044,1834.7080078125,1.939803123474121,46850329.44065657,47.824864,12.956859,"https://maps.google.com/?q=47.824864,12.956859","https://earth.google.com/web/@47.824864,12.956859,500a,35y,0h,0t,0r"
91,09181,Landsberg am Lech,9181130,24267.400299988432,1917.959716796875,58.434425354003906,46543896.20676221,48.065493,10.854797,"https://maps.google.com/?q=48.065493,10.854797","https://earth.google.com/web/@48.065493,10.854797,500a,35y,0h,0t,0r"
92,09187,Rosenheim (Lkr),9187125,24226.483350015398,1909.5028076171875,48.04302978515625,46260537.97554545,47.910803,12.368896,"https://maps.google.com/?q=47.910803,12.368896","https://earth.google.com/web/@47.910803,12.368896,500a,35y,0h,0t,0r"
93,09184,München (Lkr),9184114,23702.14214998159,1947.3870849609375,85.57450103759766,46157245.50878242,48.040389,11.657661,"https://maps.google.com/?q=48.040389,11.657661","https://earth.google.com/web/@48.040389,11.657661,500a,35y,0h,0t,0r"
94,09177,Erding,9177133,22797.92404999535,1996.0325927734375,99.79400634765625,45505399.45136412,48.354281,11.836469,"https://maps.google.com/?q=48.354281,11.836469","https://earth.google.com/web/@48.354281,11.836469,500a,35y,0h,0t,0r"
95,09178,Freising,9178145,23002.43719998942,1977.5062255859375,97.01304626464844,45487462.76662864,48.33115,11.691132,"https://maps.google.com/?q=48.33115,11.691132","https://earth.google.com/web/@48.33115,11.691132,500a,35y,0h,0t,0r"
96,09171,Altötting,9171132,24367.433300068038,1861.7996826171875,6.700617790222168,45367279.58426216,48.248098,12.592326,"https://maps.google.com/?q=48.248098,12.592326","https://earth.google.com/web/@48.248098,12.592326,500a,35y,0h,0t,0r"
97,09162,München (Stadt),9162000,22683.256799951458,1995.8671875,99.78256225585938,45272767.95265937,48.178329,11.562339,"https://maps.google.com/?q=48.178329,11.562339","https://earth.google.com/web/@48.178329,11.562339,500a,35y,0h,0t,0r"
98,09187,Rosenheim (Lkr),9187182,22621.02925002579,1913.448974609375,52.695125579833984,43284185.223070525,48.054486,12.181785,"https://maps.google.com/?q=48.054486,12.181785","https://earth.google.com/web/@48.054486,12.181785,500a,35y,0h,0t,0r"
99,09185,Neuburg-Schrobenhausen,9185150,22732.743850023016,1879.4000244140625,21.52666473388672,42723919.346731886,48.710903,11.113789,"https://maps.google.com/?q=48.710903,11.113789","https://earth.google.com/web/@48.710903,11.113789,500a,35y,0h,0t,0r"
100,09178,Freising,9178145,21612.6685000114,1972.666259765625,95.84001159667969,42634581.93347183,48.308719,11.656368,"https://maps.google.com/?q=48.308719,11.656368","https://earth.google.com/web/@48.308719,11.656368,500a,35y,0h,0t,0r"
101,09177,Erding,9177144,21748.4517999448,1955.90185546875,89.76310729980469,42537837.22908471,48.243554,11.945827,"https://maps.google.com/?q=48.243554,11.945827","https://earth.google.com/web/@48.243554,11.945827,500a,35y,0h,0t,0r"
102,09190,Weilheim-Schongau,9190148,21722.196150012383,1946.822021484375,85.23117065429688,42289249.81984722,47.811881,10.877829,"https://maps.google.com/?q=47.811881,10.877829","https://earth.google.com/web/@47.811881,10.877829,500a,35y,0h,0t,0r"
103,09187,Rosenheim (Lkr),9187181,22252.694650015088,1885.8323974609375,28.61638832092285,41964852.50180413,47.948089,12.187525,"https://maps.google.com/?q=47.948089,12.187525","https://earth.google.com/web/@47.948089,12.187525,500a,35y,0h,0t,0r"
104,09171,Altötting,9171135,22141.8399500312,1884.1861572265625,26.997024536132812,41719348.32937487,48.147903,12.625222,"https://maps.google.com/?q=48.147903,12.625222","https://earth.google.com/web/@48.147903,12.625222,500a,35y,0h,0t,0r"
105,09178,Freising,9178120,21024.31514997354,1972.255859375,95.67406463623047,41465328.743881896,48.304428,11.633666,"https://maps.google.com/?q=48.304428,11.633666","https://earth.google.com/web/@48.304428,11.633666,500a,35y,0h,0t,0r"
106,09184,München (Lkr),9184135,20763.94234997459,1978.6484375,97.25910186767578,41084542.0871173,48.222757,11.592557,"https://maps.google.com/?q=48.222757,11.592557","https://earth.google.com/web/@48.222757,11.592557,500a,35y,0h,0t,0r"
107,09184,München (Lkr),9184131,20756.60190002866,1963.225830078125,92.44678497314453,40749896.99478496,48.157031,11.766339,"https://maps.google.com/?q=48.157031,11.766339","https://earth.google.com/web/@48.157031,11.766339,500a,35y,0h,0t,0r"
108,09179,Fürstenfeldbruck,9179121,21043.831100012143,1928.383544921875,70.18196105957031,40580577.61537862,48.199293,11.248962,"https://maps.google.com/?q=48.199293,11.248962","https://earth.google.com/web/@48.199293,11.248962,500a,35y,0h,0t,0r"
109,09183,Mühldorf a.Inn,9183112,21714.9448499747,1868.5682373046875,9.155412673950195,40575856.22148573,48.252169,12.42767,"https://maps.google.com/?q=48.252169,12.42767","https://earth.google.com/web/@48.252169,12.42767,500a,35y,0h,0t,0r"
110,09186,Pfaffenhofen a.d.Ilm,9186122,21190.815299986687,1881.1409912109375,23.79262924194336,39862911.29798485,48.7423,11.633325,"https://maps.google.com/?q=48.7423,11.633325","https://earth.google.com/web/@48.7423,11.633325,500a,35y,0h,0t,0r"
111,09177,Erding,9177115,20723.195100012257,1917.2864990234375,57.610435485839844,39732302.18188216,48.266311,12.16203,"https://maps.google.com/?q=48.266311,12.16203","https://earth.google.com/web/@48.266311,12.16203,500a,35y,0h,0t,0r"
112,09176,Eichstätt,9176139,21158.761349993707,1869.5582275390625,9.887845993041992,39557536.36641625,48.796485,11.503121,"https://maps.google.com/?q=48.796485,11.503121","https://earth.google.com/web/@48.796485,11.503121,500a,35y,0h,0t,0r"
113,09186,Pfaffenhofen a.d.Ilm,9186149,20675.755849982965,1910.026611328125,48.63241195678711,39491243.88279062,48.608289,11.5819,"https://maps.google.com/?q=48.608289,11.5819","https://earth.google.com/web/@48.608289,11.5819,500a,35y,0h,0t,0r"
114,09190,Weilheim-Schongau,9190141,20623.555600056763,1912.3497314453125,51.3389778137207,39439451.01321602,47.768847,11.354229,"https://maps.google.com/?q=47.768847,11.354229","https://earth.google.com/web/@47.768847,11.354229,500a,35y,0h,0t,0r"
